Neck	Chest	Abdomen	Hip	Thigh	Knee	Ankle	Biceps	Forearm	Wrist
36.2	93.1	85.2	94.5	59	37.3	21.9	32	27.4	17.1
38.5	93.6	83	98.7	58.7	37.3	23.4	30.5	28.9	18.2
34	95.8	87.9	99.2	59.6	38.9	24	28.8	25.2	16.6
37.4	101.8	86.4	101.2	60.1	37.3	22.8	32.4	29.4	18.2
34.4	97.3	100	101.9	63.2	42.2	24	32.2	27.7	17.7
39	104.5	94.4	107.8	66	42	25.6	35.7	30.6	18.8
36.4	105.1	90.7	100.3	58.4	38.3	22.9	31.9	27.8	17.7
37.8	99.6	88.5	97.1	60	39.4	23.2	30.5	29	18.8
38.1	100.9	82.5	99.9	62.9	38.3	23.8	35.9	31.1	18.2
42.1	99.6	88.6	104.1	63.1	41.7	25	35.6	30	19.2
38.5	101.5	83.6	98.2	59.7	39.7	25.2	32.8	29.4	18.5
39.4	103.6	90.9	107.7	66.2	39.2	25.9	37.2	30.2	19
38.4	102	91.6	103.9	63.4	38.3	21.5	32.5	28.6	17.7
39.4	104.1	101.8	108.6	66	41.5	23.7	36.9	31.6	18.8
40.5	101.3	96.4	100.1	69	39	23.1	36.1	30.5	18.2
36.4	99.1	92.8	99.2	63.1	38.7	21.7	31.1	26.4	16.9
38.9	101.9	96.4	105.2	64.8	40.8	23.1	36.2	30.8	17.3
42.1	107.6	97.5	107	66.9	40	24.4	38.2	31.6	19.3
38	106.8	89.6	102.4	64.2	38.7	22.9	37.2	30.5	18.5
40	106.2	100.5	109	65.8	40.6	24	37.1	30.1	18.2
39.1	103.3	95.9	104.9	63.5	38	22.1	32.5	30.3	18.4
41.3	111.4	98.8	104.8	63.4	40.6	24.6	33	32.8	19.9
33.9	86	76.4	94.6	57.4	35.3	22.2	27.9	25.9	16.7
35.5	86.7	80	93.4	54.9	36.2	22.1	29.8	26.7	17.1
34.5	90.2	76.3	95.8	58.4	35.5	22.9	31.1	28	17.6
35.7	89.6	79.7	96.5	55	36.7	22.5	29.9	28.2	17.7
36.2	88.6	74.6	85.3	51.7	34.7	21.4	28.7	27	16.5
38.8	97.4	88.7	94.7	57.5	36	21	29.2	26.6	17
36.4	93.5	73.9	88.5	50.1	34.5	21.3	30.5	27.9	17.2
36.7	97.4	83.5	98.7	58.9	35.3	22.6	30.1	26.7	17.6
38.7	100.5	88.7	99.8	57.5	38.7	33.9	32.5	27.7	18.4
37.3	93.5	84.5	100.6	58.5	38.8	21.5	30.1	26.4	17.9
38.1	93	79.1	94.5	57.3	36.2	24.5	29	30	18.8
39.8	111.7	100.5	108.3	67.1	44.2	25.2	37.5	31.5	18.7
42.1	117	115.6	116.1	71.2	43.3	26.3	37.3	31.7	19.7
38.4	118.5	113.1	113.8	61.9	38.3	21.9	32	29.8	17
38.5	106.5	100.9	106.2	63.5	39.9	22.6	35.1	30.6	19
42.1	105.6	98.8	104.8	66	41.5	24.7	33.2	30.5	19.4
51.2	136.2	148.1	147.7	87.3	49.1	29.6	45	29	21.4
40.2	114.8	108.1	102.5	61.3	41.1	24.7	34.1	31	18.3
43.2	128.3	126.2	125.6	72.5	39.6	26.6	36.4	32.7	21.4
36.6	106	104.3	115.5	70.6	42.5	23.7	33.6	28.7	17.4
37.3	113.3	111.2	114.1	67.7	40.9	25	36.7	29.8	18.4
41.5	106.6	104.3	106	65	40.2	23	35.8	31.5	18.8
31.5	85.1	76	88.2	50	34.7	21	26.1	23.1	16.1
35.7	96.6	81.5	97.2	58.4	38.2	23.4	29.7	27.4	18.3
33.6	88.2	73.7	88.5	53.3	34.5	22.5	27.9	26.2	17.3
34.6	89.8	79.5	92.7	52.7	37.5	21.9	28.8	26.8	17.9
32.8	92.3	83.4	90.4	52	35.8	20.6	28.8	25.5	16.3
34	83.4	70.4	87.2	50.6	34.4	21.9	26.8	25.8	16.8
34.9	90.2	86.7	98.3	52.6	37.2	22.4	26	25.8	17.3
34.3	89.2	77.9	91	51.4	34.9	21	26.7	26.1	17.2
36.5	89.7	82	89.1	49.3	33.7	21.4	29.6	26	16.9
35.1	93.3	79.6	91.6	52.6	37.6	22.6	38.5	27.4	18.5
37.8	87.6	77.6	88.6	51.9	34.9	22.5	27.7	27.5	18.5
39.9	107.6	100	99.6	57.2	38	22	35.9	30.2	18.9
39.1	100	99.8	102.5	62.1	39.6	22.5	33.1	28.3	18.5
40.5	111.5	104.2	105.8	61.8	39.8	22.7	37.7	30.9	19.2
40.5	115.4	105.3	97	59.1	38	22.5	31.6	28.8	18.2
38.4	104.8	98.3	99.6	60.6	37.7	22.9	34.5	29.6	18.5
41.4	112.3	104.8	103.1	61.6	40.9	23.1	36.2	31.8	20.2
35.6	102.9	94.7	100.8	60.9	38	22.1	32.5	29.8	18.3
38	107.6	102.4	99.4	61	39.4	23.6	32.7	29.9	19.1
37.4	105.3	99.7	99.7	60.8	40.1	22.7	33.6	29	18.8
40.1	105.3	105.5	108.3	65	41.2	24.7	35.3	31.1	18.4
40.9	103	100.3	104.2	64.8	40.2	22.7	34.8	30.1	18.7
35.6	90	83.9	93.9	55	36.1	21.7	29.6	27.4	17.4
36.9	95.4	86.6	91.8	54.3	35.4	21.5	32.8	27.4	18.7
37.5	89.3	78.4	96.1	56	37.4	22.4	32.6	28.1	18.1
36.3	94.4	84.6	94.3	51.2	37.4	21.6	27.3	27.1	17.3
35.5	97.6	91.5	98.5	56.6	38.6	22.4	31.5	27.3	18.6
38.7	88.5	82.8	95.5	58.9	37.6	21.6	30.3	27.3	18.3
36.4	93.6	82.9	96.3	52.9	37.5	23.1	29.7	27.3	18.2
33.2	87.7	76	88.6	50.9	35.4	19.1	29.3	25.7	16.9
36.5	93.4	83.3	93	55.5	35.2	20.9	29.4	27	16.8
36	91.6	81.8	94.8	54.5	37	21.4	29.3	27	18.3
38.7	91.6	78.8	94.3	56.7	39.7	24.2	30.2	29.2	18.1
38.7	102	95	98.3	55	38.3	21.8	30.8	25.7	18.8
37.8	96.4	95.4	99.3	53.5	37.5	21.5	31.4	26.8	18.3
37.4	102.7	98.6	100.2	56.5	39.3	22.7	30.3	28.7	19
38.4	97.7	95.8	97.1	54.8	38.2	23.7	29.4	27.2	19
38.1	97.1	89	96.9	54.8	38	22	29.9	25.2	17.7
39.3	103.1	97.8	99.6	58.9	39	23	34.3	29.6	19
38.7	101.8	94.9	95	56	36.5	24.1	31.2	27.3	19.2
38.5	101.4	99.8	96.2	56.3	36.6	22	29.7	26.3	18
36.5	98.9	89.7	96.2	54.7	37.8	33.7	32.4	27.7	18.2
37.7	97.5	88.1	96.9	57.2	37.7	21.8	32.6	28	18.8
36.5	104.3	90.9	93.8	57.8	39.5	23.3	29.2	28.4	18.1
38	97.3	86	99.3	61	38.4	23.8	30.2	29.3	18.8
36.7	96.7	86.5	98.3	60.4	39.9	24.4	28.8	29.6	18.7
37.2	99.7	95.6	102.2	58.3	38.2	22.5	29.1	27.7	17.7
39.2	101.9	93.2	100.6	58.9	39.7	23.1	31.4	28.4	18.8
37.5	97.2	83.1	95.4	56.9	38.3	22.1	30.1	28.2	18.4
38	106.6	97.5	100.6	58.9	40.5	24.5	33.3	29.6	19.1
37.3	99.6	88.8	101.4	57.4	39.6	24.6	30.3	27.9	17.8
41.1	113.2	99.2	107.5	61.7	42.3	23.2	32.9	30.8	20.4
37.5	99.1	91.6	102.4	60.6	39.4	22.9	31.6	30.1	18.5
38.7	99.4	86.7	96.2	62.1	39.3	23.3	30.6	27.8	18.2
35.9	95.1	88.2	92.8	54.7	37.3	21.9	31.6	27.5	18.2
40	107.5	94	103.7	62.7	39	22.3	35.3	30.9	18.3
40.1	106.5	95	101.7	59	39.4	22.3	32.2	31	18.6
37	99.1	92	98.3	59.3	38.4	22.4	27.9	26.2	17
36.3	96.7	89.2	98.3	60	38.4	23.2	31	29.2	18.4
40.7	103.5	95.5	101.6	59.1	39.8	25.4	31	30.3	19.7
39.6	104	98.6	99.5	59.5	36.1	22	30.1	27.2	17.7
31.1	93.1	87.3	96.6	54.7	39	24.8	31	29.4	18.8
38.6	105.2	102.8	103.6	61.2	39.3	23.5	30.5	28.5	18.1
42	110	101.6	100.7	55.8	38.7	23.4	35.1	29.6	19.1
38.5	110.1	88.7	102.1	57.5	40	24.8	35.1	30.7	19.2
34.2	97.8	92.3	100.6	57.5	36.8	22.8	32.1	26	17.3
37.2	96.3	90.6	99.3	61.9	38	22.3	33.3	28.2	18.1
37.1	108	105	103	63.7	40	23.6	33.5	27.8	17.4
40.2	99.7	95	98.6	62.3	38.1	23.9	35.3	31.1	19.8
