CS ID,Y,X2,X3,X4,X5
1,21,160,110,3.9,16.46
2,21,160,110,3.9,17.02
3,22.8,108,93,3.85,18.61
4,21.4,258,110,3.08,19.44
5,18.7,360,175,3.15,17.02
6,18.1,225,105,2.76,20.22
7,14.3,360,245,3.21,15.84
8,24.4,146.7,62,3.69,20
9,22.8,140.8,95,3.92,22.9
10,19.2,167.6,123,3.92,18.3
11,17.8,167.6,123,3.92,18.9
12,16.4,275.8,180,3.07,17.4
13,17.3,275.8,180,3.07,17.6
14,15.2,275.8,180,3.07,18
15,10.4,472,205,2.93,17.98
16,10.4,460,215,3,17.82
17,14.7,440,230,3.23,17.42
18,32.4,78.7,66,4.08,19.47
19,30.4,75.7,52,4.93,18.52
20,33.9,71.1,65,4.22,19.9
21,21.5,120.1,97,3.7,20.01
22,15.5,318,150,2.76,16.87
23,15.2,304,150,3.15,17.3
24,13.3,350,245,3.73,15.41
25,19.2,400,175,3.08,17.05
26,27.3,79,66,4.08,18.9
27,26,120.3,91,4.43,16.7
28,30.4,95.1,113,3.77,16.9
29,15.8,351,264,4.22,14.5
30,19.7,145,175,3.62,15.5
31,15,301,335,3.54,14.6
32,21.4,121,109,4.11,18.6
